"Belgium","Region","Age Class","Population on January 1st 2020"
"Belgium","Flanders region","Less than 5 years",334389
"Belgium","Flanders region","From 5 to 9 years",369557
"Belgium","Flanders region","From 10 to 14 years",373272
"Belgium","Flanders region","From 15 to 19 years",348780
"Belgium","Flanders region","From 20 to 24 years",371728
"Belgium","Flanders region","From 25 to 29 years",408388
"Belgium","Flanders region","From 30 to 34 years",407278
"Belgium","Flanders region","From 35 to 39 years",424088
"Belgium","Flanders region","From 40 to 44 years",418021
"Belgium","Flanders region","From 45 to 49 years",434816
"Belgium","Flanders region","From 50 to 54 years",465983
"Belgium","Flanders region","From 55 to 59 years",480486
"Belgium","Flanders region","From 60 to 64 years",434826
"Belgium","Flanders region","From 65 to 69 years",373049
"Belgium","Flanders region","From 70 to 74 years",329967
"Belgium","Flanders region","From 75 to 79 years",239404
"Belgium","Flanders region","From 80 to 84 years",206102
"Belgium","Flanders region","From 85 to 89 years",137977
"Belgium","Flanders region","From 90 to 94 years",56729
"Belgium","Flanders region","From 95 to 99 years",13310
"Belgium","Flanders region","100 years and more",993
"Belgium","Brussels-Capital region","Less than 5 years",82968
"Belgium","Brussels-Capital region","From 5 to 9 years",80773
"Belgium","Brussels-Capital region","From 10 to 14 years",73838
"Belgium","Brussels-Capital region","From 15 to 19 years",66624
"Belgium","Brussels-Capital region","From 20 to 24 years",77265
"Belgium","Brussels-Capital region","From 25 to 29 years",104675
"Belgium","Brussels-Capital region","From 30 to 34 years",103999
"Belgium","Brussels-Capital region","From 35 to 39 years",96084
"Belgium","Brussels-Capital region","From 40 to 44 years",90302
"Belgium","Brussels-Capital region","From 45 to 49 years",83475
"Belgium","Brussels-Capital region","From 50 to 54 years",75676
"Belgium","Brussels-Capital region","From 55 to 59 years",67198
"Belgium","Brussels-Capital region","From 60 to 64 years",55785
"Belgium","Brussels-Capital region","From 65 to 69 years",44956
"Belgium","Brussels-Capital region","From 70 to 74 years",37624
"Belgium","Brussels-Capital region","From 75 to 79 years",27829
"Belgium","Brussels-Capital region","From 80 to 84 years",22570
"Belgium","Brussels-Capital region","From 85 to 89 years",15992
"Belgium","Brussels-Capital region","From 90 to 94 years",8070
"Belgium","Brussels-Capital region","From 95 to 99 years",2291
"Belgium","Brussels-Capital region","100 years and more",261
"Belgium","Walloon region","Less than 5 years",189581
"Belgium","Walloon region","From 5 to 9 years",211800
"Belgium","Walloon region","From 10 to 14 years",219493
"Belgium","Walloon region","From 15 to 19 years",218247
"Belgium","Walloon region","From 20 to 24 years",219183
"Belgium","Walloon region","From 25 to 29 years",226406
"Belgium","Walloon region","From 30 to 34 years",232092
"Belgium","Walloon region","From 35 to 39 years",228749
"Belgium","Walloon region","From 40 to 44 years",228549
"Belgium","Walloon region","From 45 to 49 years",249376
"Belgium","Walloon region","From 50 to 54 years",249233
"Belgium","Walloon region","From 55 to 59 years",252052
"Belgium","Walloon region","From 60 to 64 years",233128
"Belgium","Walloon region","From 65 to 69 years",205395
"Belgium","Walloon region","From 70 to 74 years",179408
"Belgium","Walloon region","From 75 to 79 years",110059
"Belgium","Walloon region","From 80 to 84 years",92976
"Belgium","Walloon region","From 85 to 89 years",63773
"Belgium","Walloon region","From 90 to 94 years",28270
"Belgium","Walloon region","From 95 to 99 years",6933
"Belgium","Walloon region","100 years and more",540
"Belgium",,"Less than 5 years",606938
"Belgium",,"From 5 to 9 years",662130
"Belgium",,"From 10 to 14 years",666603
"Belgium",,"From 15 to 19 years",633651
"Belgium",,"From 20 to 24 years",668176
"Belgium",,"From 25 to 29 years",739469
"Belgium",,"From 30 to 34 years",743369
"Belgium",,"From 35 to 39 years",748921
"Belgium",,"From 40 to 44 years",736872
"Belgium",,"From 45 to 49 years",767667
"Belgium",,"From 50 to 54 years",790892
"Belgium",,"From 55 to 59 years",799736
"Belgium",,"From 60 to 64 years",723739
"Belgium",,"From 65 to 69 years",623400
"Belgium",,"From 70 to 74 years",546999
"Belgium",,"From 75 to 79 years",377292
"Belgium",,"From 80 to 84 years",321648
"Belgium",,"From 85 to 89 years",217742
"Belgium",,"From 90 to 94 years",93069
"Belgium",,"From 95 to 99 years",22534
"Belgium",,"100 years and more",1794
