Age Class,Region,Population on January 1st 2021
Less than 5 years,Flanders region,331200
Less than 5 years,Brussels-Capital region,80038
Less than 5 years,Walloon region,186576
From 5 to 9 years,Flanders region,365656
From 5 to 9 years,Brussels-Capital region,79550
From 5 to 9 years,Walloon region,208824
From 10 to 14 years,Flanders region,380100
From 10 to 14 years,Brussels-Capital region,75394
From 10 to 14 years,Walloon region,221353
From 15 to 19 years,Flanders region,351991
From 15 to 19 years,Brussels-Capital region,67671
From 15 to 19 years,Walloon region,217518
From 20 to 24 years,Flanders region,370264
From 20 to 24 years,Brussels-Capital region,77321
From 20 to 24 years,Walloon region,221469
From 25 to 29 years,Flanders region,404341
From 25 to 29 years,Brussels-Capital region,104697
From 25 to 29 years,Walloon region,222302
From 30 to 34 years,Flanders region,414688
From 30 to 34 years,Brussels-Capital region,104859
From 30 to 34 years,Walloon region,235553
From 35 to 39 years,Flanders region,420529
From 35 to 39 years,Brussels-Capital region,94725
From 35 to 39 years,Walloon region,228929
From 40 to 44 years,Flanders region,427612
From 40 to 44 years,Brussels-Capital region,91657
From 40 to 44 years,Walloon region,230104
From 45 to 49 years,Flanders region,424109
From 45 to 49 years,Brussels-Capital region,83330
From 45 to 49 years,Walloon region,245567
From 50 to 54 years,Flanders region,460930
From 50 to 54 years,Brussels-Capital region,77010
From 50 to 54 years,Walloon region,247943
From 55 to 59 years,Flanders region,483412
From 55 to 59 years,Brussels-Capital region,67640
From 55 to 59 years,Walloon region,252676
From 60 to 64 years,Flanders region,441672
From 60 to 64 years,Brussels-Capital region,57052
From 60 to 64 years,Walloon region,235855
From 65 to 69 years,Flanders region,380841
From 65 to 69 years,Brussels-Capital region,45284
From 65 to 69 years,Walloon region,206534
From 70 to 74 years,Flanders region,335969
From 70 to 74 years,Brussels-Capital region,38276
From 70 to 74 years,Walloon region,187187
From 75 to 79 years,Flanders region,247437
From 75 to 79 years,Brussels-Capital region,27756
From 75 to 79 years,Walloon region,112257
From 80 to 84 years,Flanders region,202376
From 80 to 84 years,Brussels-Capital region,22154
From 80 to 84 years,Walloon region,91127
From 85 to 89 years,Flanders region,136698
From 85 to 89 years,Brussels-Capital region,15217
From 85 to 89 years,Walloon region,60986
From 90 to 94 years,Flanders region,58425
From 90 to 94 years,Brussels-Capital region,7915
From 90 to 94 years,Walloon region,27999
From 95 to 99 years,Flanders region,13570
From 95 to 99 years,Brussels-Capital region,2154
From 95 to 99 years,Walloon region,6796
100 years and more,Flanders region,1242
100 years and more,Brussels-Capital region,270
100 years and more,Walloon region,651
Less than 5 years,,597814
From 5 to 9 years,,654030
From 10 to 14 years,,676847
From 15 to 19 years,,637180
From 20 to 24 years,,669054
From 25 to 29 years,,731340
From 30 to 34 years,,755100
From 35 to 39 years,,744183
From 40 to 44 years,,749373
From 45 to 49 years,,753006
From 50 to 54 years,,785883
From 55 to 59 years,,803728
From 60 to 64 years,,734579
From 65 to 69 years,,632659
From 70 to 74 years,,561432
From 75 to 79 years,,387450
From 80 to 84 years,,315657
From 85 to 89 years,,212901
From 90 to 94 years,,94339
From 95 to 99 years,,22520
100 years and more,,2163
