"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99","rna_E_0_9","rna_E_10_19","rna_E_20_29","rna_E_30_39","rna_E_40_49","rna_E_50_59","rna_E_60_69","rna_E_70_79","rna_E_80_89","rna_E_90_99","rna_F_0_9","rna_F_10_19","rna_F_20_29","rna_F_30_39","rna_F_40_49","rna_F_50_59","rna_F_60_69","rna_F_70_79","rna_F_80_89","rna_F_90_99","rna_X_0_9","rna_X_10_19","rna_X_20_29","rna_X_30_39","rna_X_40_49","rna_X_50_59","rna_X_60_69","rna_X_70_79","rna_X_80_89","rna_X_90_99"
2021-01-01,0,0,0.599447099059055,1.73319157580522,1.36106512996238,1.02683759306549,0.461138349150081,0.0683202529577602,0,0,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0,0,0.75,11.8839658727126,16.3237485595953,17.8758059569854,24.5806913053759,25.8671225036393,26.3774009389133,87.272212663118,28.3190521996602,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0.599447099059055,1.73319157580522,1.36106512996238,1.02683759306549,0.461138349150081,0.0683202529577602,0,0,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0,0,0.75,11.8839658727126,16.3237485595953,17.8758059569854,24.5806913053759,25.8671225036393,26.3774009389133,87.272212663118,28.3190521996602,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0.599447099059055,1.73319157580522,1.36106512996238,1.02683759306549,0.461138349150081,0.0683202529577602,0,0,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0,0,0.75,11.8839658727126,16.3237485595953,17.8758059569854,24.5806913053759,25.8671225036393,26.3774009389133,87.272212663118,28.3190521996602,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0.599447099059055,1.73319157580522,1.36106512996238,1.02683759306549,0.461138349150081,0.0683202529577602,0,0,0,0,0,0.175848741651587,0.0741512583484133,0,0,0,0,0,0,0.75,11.8839658727126,16.3237485595953,17.8758059569854,24.5806913053759,25.8671225036393,26.3774009389133,87.272212663118,28.3190521996602,0,0,0,0,0.173425951206666,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.69889419811811,0.476954543533474,0.421003160761745,1.23396019442491,0.419187903161763,0.18310127487945,0.0668987251205495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524170648588583,0.753375576366177,0.569305677458573,0.873689495478827,0.279458602107843,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.69889419811811,0.476954543533474,0.421003160761745,1.23396019442491,0.419187903161763,0.18310127487945,0.0668987251205495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524170648588583,0.753375576366177,0.569305677458573,0.873689495478827,0.279458602107843,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.69889419811811,0.476954543533474,0.421003160761745,1.23396019442491,0.419187903161763,0.18310127487945,0.0668987251205495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524170648588583,0.753375576366177,0.569305677458573,0.873689495478827,0.279458602107843,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.69889419811811,0.476954543533474,0.421003160761745,1.23396019442491,0.419187903161763,0.18310127487945,0.0668987251205495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524170648588583,0.753375576366177,0.569305677458573,0.873689495478827,0.279458602107843,0,0.184748727650552,0.0652512723494477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948894198118112,0.476954543533475,0.941281014381742,1.28354699133187,2.89283971122615,1.68888864092644,0.267594900482197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948894198118112,0.476954543533475,0.941281014381742,1.28354699133187,2.89283971122615,1.68888864092644,0.267594900482197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
