Date,NEW_IN
6 mars 2020,0
7 mars 2020,0
8 mars 2020,0
9 mars 2020,0
10 mars 2020,0
11 mars 2020,2
12 mars 2020,15
13 mars 2020,26
14 mars 2020,35
15 mars 2020,53
16 mars 2020,79
17 mars 2020,100
18 mars 2020,130
19 mars 2020,164
20 mars 2020,229
21 mars 2020,290
22 mars 2020,326
23 mars 2020,385
24 mars 2020,487
25 mars 2020,612
26 mars 2020,699
27 mars 2020,789
28 mars 2020,867
29 mars 2020,961
30 mars 2020,1021
31 mars 2020,1088
1 avr. 2020,1144
2 avr. 2020,1205
3 avr. 2020,1256
4 avr. 2020,1261
5 avr. 2020,1267
6 avr. 2020,1260
7 avr. 2020,1276
8 avr. 2020,1286
9 avr. 2020,1279
10 avr. 2020,1262
11 avr. 2020,1251
12 avr. 2020,1253
13 avr. 2020,1226
14 avr. 2020,1204
15 avr. 2020,1182
16 avr. 2020,1150
17 avr. 2020,1119
18 avr. 2020,1081
19 avr. 2020,1071
20 avr. 2020,1079
21 avr. 2020,1020
22 avr. 2020,993
23 avr. 2020,970
24 avr. 2020,934
25 avr. 2020,901
26 avr. 2020,903
27 avr. 2020,876
28 avr. 2020,797
29 avr. 2020,769
30 avr. 2020,749
1 mai 2020,690
2 mai 2020,684
3 mai 2020,655
4 mai 2020,646
5 mai 2020,582
6 mai 2020,542
7 mai 2020,508
8 mai 2020,502
9 mai 2020,475
10 mai 2020,477
11 mai 2020,465
12 mai 2020,427
13 mai 2020,407
14 mai 2020,380
15 mai 2020,364
16 mai 2020,345
17 mai 2020,342
18 mai 2020,345
19 mai 2020,313
20 mai 2020,277
21 mai 2020,268
22 mai 2020,259
23 mai 2020,256
24 mai 2020,251
25 mai 2020,249
26 mai 2020,223
27 mai 2020,209
28 mai 2020,187
29 mai 2020,173
30 mai 2020,168
31 mai 2020,164
1 juin 2020,166
2 juin 2020,172
3 juin 2020,145
4 juin 2020,137
5 juin 2020,121
6 juin 2020,111
7 juin 2020,116
8 juin 2020,115
9 juin 2020,102
10 juin 2020,99
11 juin 2020,89
12 juin 2020,88
13 juin 2020,82
14 juin 2020,85
15 juin 2020,76
16 juin 2020,67
17 juin 2020,60
18 juin 2020,52
19 juin 2020,50
20 juin 2020,53
21 juin 2020,50
22 juin 2020,42
23 juin 2020,41
24 juin 2020,40
25 juin 2020,38
26 juin 2020,36
27 juin 2020,34
28 juin 2020,36
29 juin 2020,41
30 juin 2020,37
1 juil. 2020,36
2 juil. 2020,35
3 juil. 2020,32
4 juil. 2020,29
5 juil. 2020,30
6 juil. 2020,27
7 juil. 2020,32
8 juil. 2020,32
9 juil. 2020,36
10 juil. 2020,32
11 juil. 2020,28
12 juil. 2020,27
13 juil. 2020,23
14 juil. 2020,27
15 juil. 2020,27
16 juil. 2020,28
17 juil. 2020,28
18 juil. 2020,30
19 juil. 2020,31
20 juil. 2020,36
21 juil. 2020,33
22 juil. 2020,41
23 juil. 2020,40
24 juil. 2020,41
25 juil. 2020,44
26 juil. 2020,47
27 juil. 2020,52
28 juil. 2020,49
29 juil. 2020,47
30 juil. 2020,42
31 juil. 2020,48
1 août 2020,56
2 août 2020,58
3 août 2020,54
4 août 2020,63
5 août 2020,61
6 août 2020,65
7 août 2020,69
8 août 2020,67
9 août 2020,69
10 août 2020,73
11 août 2020,77
12 août 2020,76
13 août 2020,74
14 août 2020,80
15 août 2020,82
16 août 2020,86
17 août 2020,91
18 août 2020,89
19 août 2020,83
20 août 2020,82
21 août 2020,84
22 août 2020,85
23 août 2020,87
24 août 2020,89
25 août 2020,85
26 août 2020,81
27 août 2020,82
28 août 2020,77
29 août 2020,72
30 août 2020,71
31 août 2020,74
1 sept. 2020,68
2 sept. 2020,60
3 sept. 2020,58
4 sept. 2020,52
5 sept. 2020,53
6 sept. 2020,53
7 sept. 2020,52
8 sept. 2020,59
9 sept. 2020,60
10 sept. 2020,65
11 sept. 2020,67
12 sept. 2020,68
13 sept. 2020,71
14 sept. 2020,72
15 sept. 2020,67
16 sept. 2020,74
17 sept. 2020,69
18 sept. 2020,78
19 sept. 2020,78
20 sept. 2020,77
21 sept. 2020,87
22 sept. 2020,94
23 sept. 2020,95
24 sept. 2020,104
25 sept. 2020,110
26 sept. 2020,120
27 sept. 2020,135
28 sept. 2020,140
29 sept. 2020,150
30 sept. 2020,157
1 oct. 2020,156
2 oct. 2020,163
3 oct. 2020,185
4 oct. 2020,186
5 oct. 2020,195
6 oct. 2020,189
7 oct. 2020,201
8 oct. 2020,213
9 oct. 2020,214
10 oct. 2020,228
11 oct. 2020,245
12 oct. 2020,268
13 oct. 2020,281
14 oct. 2020,313
15 oct. 2020,327
16 oct. 2020,358
17 oct. 2020,384
18 oct. 2020,412
19 oct. 2020,446
20 oct. 2020,487
21 oct. 2020,525
22 oct. 2020,573
23 oct. 2020,633
24 oct. 2020,694
25 oct. 2020,756
26 oct. 2020,812
27 oct. 2020,912
28 oct. 2020,994
29 oct. 2020,1057
30 oct. 2020,1105
31 oct. 2020,1161
1 nov. 2020,1223
2 nov. 2020,1302
3 nov. 2020,1353
4 nov. 2020,1412
5 nov. 2020,1428
6 nov. 2020,1459
7 nov. 2020,1464
8 nov. 2020,1470
9 nov. 2020,1474
10 nov. 2020,1470
11 nov. 2020,1463
12 nov. 2020,1456
13 nov. 2020,1457
14 nov. 2020,1423
15 nov. 2020,1439
16 nov. 2020,1408
17 nov. 2020,1356
18 nov. 2020,1323
19 nov. 2020,1286
20 nov. 2020,1256
21 nov. 2020,1201
22 nov. 2020,1194
23 nov. 2020,1168
24 nov. 2020,1105
25 nov. 2020,1071
26 nov. 2020,1034
27 nov. 2020,997
28 nov. 2020,946
29 nov. 2020,904
30 nov. 2020,900
1 déc. 2020,854
2 déc. 2020,829
3 déc. 2020,786
4 déc. 2020,789
5 déc. 2020,753
6 déc. 2020,744
7 déc. 2020,724
8 déc. 2020,677
9 déc. 2020,662
10 déc. 2020,658
11 déc. 2020,646
12 déc. 2020,627
13 déc. 2020,617
14 déc. 2020,615
15 déc. 2020,594
16 déc. 2020,571
17 déc. 2020,562
18 déc. 2020,547
19 déc. 2020,541
20 déc. 2020,543
21 déc. 2020,546
22 déc. 2020,536
23 déc. 2020,512
24 déc. 2020,514
25 déc. 2020,511
26 déc. 2020,493
27 déc. 2020,491
28 déc. 2020,510
29 déc. 2020,498
30 déc. 2020,496
31 déc. 2020,494
1 janv. 2021,489
2 janv. 2021,481
3 janv. 2021,468
4 janv. 2021,464
5 janv. 2021,430
6 janv. 2021,404
7 janv. 2021,381
8 janv. 2021,377
9 janv. 2021,379
10 janv. 2021,371
11 janv. 2021,378
12 janv. 2021,356
13 janv. 2021,360
14 janv. 2021,346
15 janv. 2021,345
16 janv. 2021,352
17 janv. 2021,367
18 janv. 2021,369
19 janv. 2021,361
20 janv. 2021,337
21 janv. 2021,338
22 janv. 2021,338
23 janv. 2021,327
24 janv. 2021,322
25 janv. 2021,325
26 janv. 2021,322
27 janv. 2021,313
28 janv. 2021,323
29 janv. 2021,315
30 janv. 2021,315
31 janv. 2021,315
1 févr. 2021,325
2 févr. 2021,311
3 févr. 2021,310
4 févr. 2021,306
5 févr. 2021,304
6 févr. 2021,292
7 févr. 2021,300
8 févr. 2021,302
9 févr. 2021,308
10 févr. 2021,303
11 févr. 2021,294
12 févr. 2021,295
13 févr. 2021,298
14 févr. 2021,307
15 févr. 2021,319
16 févr. 2021,311
17 févr. 2021,315
18 févr. 2021,314
19 févr. 2021,314
20 févr. 2021,316
21 févr. 2021,329
22 févr. 2021,348
23 févr. 2021,353
24 févr. 2021,362
25 févr. 2021,369
26 févr. 2021,393
27 févr. 2021,397
28 févr. 2021,407
1 mars 2021,413
2 mars 2021,426
3 mars 2021,434
4 mars 2021,426
5 mars 2021,433
6 mars 2021,416
7 mars 2021,425
8 mars 2021,436
9 mars 2021,441
10 mars 2021,452
11 mars 2021,448
12 mars 2021,468
13 mars 2021,474
14 mars 2021,485
15 mars 2021,503
16 mars 2021,522
