Date,Consolidated,Not consolidated
1 mars 2020,19,
2 mars 2020,19,
3 mars 2020,34,
4 mars 2020,53,
5 mars 2020,81,
6 mars 2020,110,
7 mars 2020,27,
8 mars 2020,64,
9 mars 2020,94,
10 mars 2020,99,
11 mars 2020,174,
12 mars 2020,250,
13 mars 2020,338,
14 mars 2020,179,
15 mars 2020,214,
16 mars 2020,387,
17 mars 2020,422,
18 mars 2020,534,
19 mars 2020,713,
20 mars 2020,662,
21 mars 2020,469,
22 mars 2020,486,
23 mars 2020,1328,
24 mars 2020,1195,
25 mars 2020,1199,
26 mars 2020,1363,
27 mars 2020,1518,
28 mars 2020,844,
29 mars 2020,683,
30 mars 2020,1738,
31 mars 2020,1681,
1 avr. 2020,1516,
2 avr. 2020,1478,
3 avr. 2020,1694,
4 avr. 2020,922,
5 avr. 2020,665,
6 avr. 2020,1934,
7 avr. 2020,1515,
8 avr. 2020,1598,
9 avr. 2020,2239,
10 avr. 2020,2336,
11 avr. 2020,1029,
12 avr. 2020,524,
13 avr. 2020,537,
14 avr. 2020,1560,
15 avr. 2020,1633,
16 avr. 2020,1674,
17 avr. 2020,1394,
18 avr. 2020,722,
19 avr. 2020,443,
20 avr. 2020,1276,
21 avr. 2020,1270,
22 avr. 2020,777,
23 avr. 2020,976,
24 avr. 2020,811,
25 avr. 2020,388,
26 avr. 2020,205,
27 avr. 2020,755,
28 avr. 2020,569,
29 avr. 2020,522,
30 avr. 2020,586,
1 mai 2020,237,
2 mai 2020,286,
3 mai 2020,140,
4 mai 2020,670,
5 mai 2020,546,
6 mai 2020,552,
7 mai 2020,442,
8 mai 2020,483,
9 mai 2020,240,
10 mai 2020,118,
11 mai 2020,476,
12 mai 2020,395,
13 mai 2020,321,
14 mai 2020,305,
15 mai 2020,346,
16 mai 2020,147,
17 mai 2020,81,
18 mai 2020,317,
19 mai 2020,292,
20 mai 2020,385,
21 mai 2020,70,
22 mai 2020,248,
23 mai 2020,123,
24 mai 2020,75,
25 mai 2020,314,
26 mai 2020,202,
27 mai 2020,182,
28 mai 2020,171,
29 mai 2020,165,
30 mai 2020,61,
31 mai 2020,49,
1 juin 2020,59,
2 juin 2020,181,
3 juin 2020,159,
4 juin 2020,172,
5 juin 2020,154,
6 juin 2020,69,
7 juin 2020,53,
8 juin 2020,152,
9 juin 2020,145,
10 juin 2020,119,
11 juin 2020,95,
12 juin 2020,89,
13 juin 2020,49,
14 juin 2020,22,
15 juin 2020,147,
16 juin 2020,99,
17 juin 2020,123,
18 juin 2020,108,
19 juin 2020,121,
20 juin 2020,50,
21 juin 2020,20,
22 juin 2020,143,
23 juin 2020,110,
24 juin 2020,100,
25 juin 2020,76,
26 juin 2020,113,
27 juin 2020,41,
28 juin 2020,24,
29 juin 2020,127,
30 juin 2020,100,
1 juil. 2020,135,
2 juil. 2020,93,
3 juil. 2020,94,
4 juil. 2020,64,
5 juil. 2020,24,
6 juil. 2020,112,
7 juil. 2020,99,
8 juil. 2020,137,
9 juil. 2020,124,
10 juil. 2020,127,
11 juil. 2020,62,
12 juil. 2020,43,
13 juil. 2020,224,
14 juil. 2020,207,
15 juil. 2020,260,
16 juil. 2020,226,
17 juil. 2020,274,
18 juil. 2020,130,
19 juil. 2020,64,
20 juil. 2020,443,
21 juil. 2020,145,
22 juil. 2020,553,
23 juil. 2020,439,
24 juil. 2020,496,
25 juil. 2020,229,
26 juil. 2020,184,
27 juil. 2020,595,
28 juil. 2020,685,
29 juil. 2020,703,
30 juil. 2020,635,
31 juil. 2020,684,
1 août 2020,309,
2 août 2020,148,
3 août 2020,794,
4 août 2020,813,
5 août 2020,767,
6 août 2020,769,
7 août 2020,771,
8 août 2020,304,
9 août 2020,122,
10 août 2020,873,
11 août 2020,718,
12 août 2020,609,
13 août 2020,669,
14 août 2020,587,
15 août 2020,163,
16 août 2020,132,
17 août 2020,707,
18 août 2020,725,
19 août 2020,612,
20 août 2020,581,
21 août 2020,510,
22 août 2020,203,
23 août 2020,115,
24 août 2020,607,
25 août 2020,527,
26 août 2020,526,
27 août 2020,535,
28 août 2020,614,
29 août 2020,195,
30 août 2020,117,
31 août 2020,634,
1 sept. 2020,565,
2 sept. 2020,574,
3 sept. 2020,677,
4 sept. 2020,728,
5 sept. 2020,322,
6 sept. 2020,155,
7 sept. 2020,918,
8 sept. 2020,871,
9 sept. 2020,1024,
10 sept. 2020,1143,
11 sept. 2020,1284,
12 sept. 2020,617,
13 sept. 2020,301,
14 sept. 2020,1724,
15 sept. 2020,1628,
16 sept. 2020,1943,
17 sept. 2020,1750,
18 sept. 2020,1709,
19 sept. 2020,894,
20 sept. 2020,461,
21 sept. 2020,2202,
22 sept. 2020,2074,
23 sept. 2020,2096,
24 sept. 2020,1795,
25 sept. 2020,1623,
26 sept. 2020,1078,
27 sept. 2020,560,
28 sept. 2020,2791,
29 sept. 2020,3008,
30 sept. 2020,3274,
1 oct. 2020,3421,
2 oct. 2020,3753,
3 oct. 2020,1728,
4 oct. 2020,1047,
5 oct. 2020,5302,
6 oct. 2020,5745,
7 oct. 2020,6886,
8 oct. 2020,6671,
9 oct. 2020,7945,
10 oct. 2020,4370,
11 oct. 2020,2409,
12 oct. 2020,9863,
13 oct. 2020,12768,
14 oct. 2020,12523,
15 oct. 2020,11990,
16 oct. 2020,13748,
17 oct. 2020,8137,
18 oct. 2020,4307,
19 oct. 2020,15760,
20 oct. 2020,19534,
21 oct. 2020,17528,
22 oct. 2020,17700,
23 oct. 2020,18879,
24 oct. 2020,11565,
25 oct. 2020,4879,
26 oct. 2020,19806,
27 oct. 2020,22128,
28 oct. 2020,17918,
29 oct. 2020,15045,
30 oct. 2020,15407,
31 oct. 2020,6317,
1 nov. 2020,2645,
2 nov. 2020,13805,
3 nov. 2020,12048,
4 nov. 2020,9195,
5 nov. 2020,7627,
6 nov. 2020,6592,
7 nov. 2020,2998,
8 nov. 2020,1446,
9 nov. 2020,8607,
10 nov. 2020,7628,
11 nov. 2020,1975,
12 nov. 2020,6442,
13 nov. 2020,5698,
14 nov. 2020,2366,
15 nov. 2020,1050,
