Date,Deaths
7 mars 2020,1
10 mars 2020,1
11 mars 2020,3
13 mars 2020,4
14 mars 2020,7
15 mars 2020,7
16 mars 2020,11
17 mars 2020,15
18 mars 2020,25
19 mars 2020,35
20 mars 2020,40
21 mars 2020,41
22 mars 2020,55
23 mars 2020,81
24 mars 2020,76
25 mars 2020,111
26 mars 2020,102
27 mars 2020,136
28 mars 2020,144
29 mars 2020,144
30 mars 2020,171
31 mars 2020,201
1 avr. 2020,241
2 avr. 2020,215
3 avr. 2020,241
4 avr. 2020,270
5 avr. 2020,245
6 avr. 2020,254
7 avr. 2020,276
8 avr. 2020,323
9 avr. 2020,270
10 avr. 2020,300
11 avr. 2020,289
12 avr. 2020,268
13 avr. 2020,273
14 avr. 2020,260
15 avr. 2020,279
16 avr. 2020,245
17 avr. 2020,206
18 avr. 2020,206
19 avr. 2020,185
20 avr. 2020,208
21 avr. 2020,194
22 avr. 2020,181
23 avr. 2020,157
24 avr. 2020,154
25 avr. 2020,142
26 avr. 2020,152
27 avr. 2020,132
28 avr. 2020,113
29 avr. 2020,108
30 avr. 2020,90
1 mai 2020,93
2 mai 2020,78
3 mai 2020,91
4 mai 2020,93
5 mai 2020,83
6 mai 2020,78
7 mai 2020,68
8 mai 2020,80
9 mai 2020,76
10 mai 2020,72
11 mai 2020,66
12 mai 2020,47
13 mai 2020,60
14 mai 2020,46
15 mai 2020,47
16 mai 2020,29
17 mai 2020,31
18 mai 2020,39
19 mai 2020,36
20 mai 2020,31
21 mai 2020,38
22 mai 2020,42
23 mai 2020,28
24 mai 2020,32
25 mai 2020,26
26 mai 2020,26
27 mai 2020,25
28 mai 2020,28
29 mai 2020,16
30 mai 2020,25
31 mai 2020,22
1 juin 2020,21
2 juin 2020,24
3 juin 2020,19
4 juin 2020,17
5 juin 2020,13
6 juin 2020,11
7 juin 2020,12
8 juin 2020,10
9 juin 2020,12
10 juin 2020,15
11 juin 2020,9
12 juin 2020,10
13 juin 2020,5
14 juin 2020,5
15 juin 2020,8
16 juin 2020,9
17 juin 2020,8
18 juin 2020,5
19 juin 2020,4
20 juin 2020,4
21 juin 2020,8
22 juin 2020,12
23 juin 2020,4
24 juin 2020,5
25 juin 2020,5
26 juin 2020,2
27 juin 2020,8
28 juin 2020,5
29 juin 2020,3
30 juin 2020,8
1 juil. 2020,3
2 juil. 2020,4
3 juil. 2020,2
4 juil. 2020,4
5 juil. 2020,2
6 juil. 2020,1
7 juil. 2020,3
8 juil. 2020,1
9 juil. 2020,2
11 juil. 2020,2
12 juil. 2020,4
13 juil. 2020,1
14 juil. 2020,3
15 juil. 2020,5
16 juil. 2020,5
17 juil. 2020,2
18 juil. 2020,3
19 juil. 2020,2
