Date,NEW_IN
6 mars 2020,1
7 mars 2020,0
8 mars 2020,0
9 mars 2020,1
10 mars 2020,7
11 mars 2020,14
12 mars 2020,64
13 mars 2020,101
14 mars 2020,184
15 mars 2020,263
16 mars 2020,370
17 mars 2020,493
18 mars 2020,646
19 mars 2020,840
20 mars 2020,1108
21 mars 2020,1384
22 mars 2020,1661
23 mars 2020,1883
24 mars 2020,2204
25 mars 2020,2721
26 mars 2020,3111
27 mars 2020,3649
28 mars 2020,4088
29 mars 2020,4536
30 mars 2020,4897
31 mars 2020,4988
1 avr. 2020,5219
2 avr. 2020,5398
3 avr. 2020,5562
4 avr. 2020,5531
5 avr. 2020,5620
6 avr. 2020,5759
7 avr. 2020,5710
8 avr. 2020,5620
9 avr. 2020,5640
10 avr. 2020,5663
11 avr. 2020,5538
12 avr. 2020,5542
13 avr. 2020,5554
14 avr. 2020,5532
15 avr. 2020,5331
16 avr. 2020,5181
17 avr. 2020,5088
18 avr. 2020,4889
19 avr. 2020,4940
20 avr. 2020,4996
21 avr. 2020,4765
22 avr. 2020,4527
23 avr. 2020,4353
24 avr. 2020,4195
25 avr. 2020,3957
26 avr. 2020,3968
27 avr. 2020,3976
28 avr. 2020,3733
29 avr. 2020,3609
30 avr. 2020,3386
1 mai 2020,3109
2 mai 2020,3080
3 mai 2020,3044
4 mai 2020,3080
5 mai 2020,2868
6 mai 2020,2699
7 mai 2020,2555
8 mai 2020,2381
9 mai 2020,2222
10 mai 2020,2222
11 mai 2020,2230
12 mai 2020,2085
13 mai 2020,1966
14 mai 2020,1862
15 mai 2020,1750
16 mai 2020,1625
17 mai 2020,1614
18 mai 2020,1630
19 mai 2020,1527
20 mai 2020,1448
21 mai 2020,1388
22 mai 2020,1360
23 mai 2020,1296
24 mai 2020,1306
25 mai 2020,1304
26 mai 2020,1150
27 mai 2020,1050
28 mai 2020,939
29 mai 2020,892
30 mai 2020,823
31 mai 2020,818
1 juin 2020,821
2 juin 2020,821
3 juin 2020,739
4 juin 2020,702
5 juin 2020,647
6 juin 2020,573
7 juin 2020,576
8 juin 2020,575
9 juin 2020,527
10 juin 2020,484
11 juin 2020,479
12 juin 2020,425
13 juin 2020,395
14 juin 2020,400
15 juin 2020,395
16 juin 2020,371
17 juin 2020,344
18 juin 2020,340
19 juin 2020,308
20 juin 2020,292
21 juin 2020,295
22 juin 2020,293
23 juin 2020,281
24 juin 2020,268
25 juin 2020,256
26 juin 2020,247
27 juin 2020,237
28 juin 2020,237
29 juin 2020,244
30 juin 2020,222
1 juil. 2020,203
2 juil. 2020,187
3 juil. 2020,168
4 juil. 2020,170
5 juil. 2020,170
6 juil. 2020,169
7 juil. 2020,178
8 juil. 2020,165
9 juil. 2020,160
10 juil. 2020,143
11 juil. 2020,132
12 juil. 2020,130
13 juil. 2020,138
14 juil. 2020,147
15 juil. 2020,150
16 juil. 2020,147
17 juil. 2020,145
18 juil. 2020,161
19 juil. 2020,168
20 juil. 2020,181
21 juil. 2020,172
22 juil. 2020,191
23 juil. 2020,203
24 juil. 2020,218
25 juil. 2020,210
26 juil. 2020,211
27 juil. 2020,222
28 juil. 2020,232
29 juil. 2020,263
30 juil. 2020,267
31 juil. 2020,253
1 août 2020,259
2 août 2020,271
3 août 2020,290
4 août 2020,265
5 août 2020,293
6 août 2020,278
7 août 2020,285
8 août 2020,281
9 août 2020,285
10 août 2020,312
11 août 2020,307
12 août 2020,301
13 août 2020,309
14 août 2020,312
15 août 2020,309
16 août 2020,337
17 août 2020,341
18 août 2020,335
19 août 2020,334
20 août 2020,303
21 août 2020,314
22 août 2020,310
23 août 2020,312
24 août 2020,320
25 août 2020,282
26 août 2020,260
27 août 2020,257
28 août 2020,252
29 août 2020,230
30 août 2020,233
31 août 2020,243
1 sept. 2020,226
2 sept. 2020,221
3 sept. 2020,209
4 sept. 2020,215
5 sept. 2020,215
6 sept. 2020,223
7 sept. 2020,235
8 sept. 2020,260
9 sept. 2020,250
10 sept. 2020,249
11 sept. 2020,254
12 sept. 2020,260
13 sept. 2020,293
14 sept. 2020,318
15 sept. 2020,315
16 sept. 2020,353
17 sept. 2020,371
18 sept. 2020,392
19 sept. 2020,421
20 sept. 2020,432
21 sept. 2020,490
22 sept. 2020,505
23 sept. 2020,550
24 sept. 2020,602
25 sept. 2020,620
26 sept. 2020,626
27 sept. 2020,654
28 sept. 2020,708
29 sept. 2020,716
30 sept. 2020,739
1 oct. 2020,773
2 oct. 2020,789
3 oct. 2020,819
4 oct. 2020,866
5 oct. 2020,937
6 oct. 2020,952
7 oct. 2020,1050
8 oct. 2020,1110
9 oct. 2020,1191
10 oct. 2020,1260
11 oct. 2020,1334
12 oct. 2020,1473
13 oct. 2020,1622
14 oct. 2020,1778
15 oct. 2020,1951
16 oct. 2020,2099
17 oct. 2020,2267
18 oct. 2020,2497
19 oct. 2020,2773
20 oct. 2020,2977
21 oct. 2020,3275
22 oct. 2020,3649
23 oct. 2020,4056
24 oct. 2020,4408
25 oct. 2020,4825
26 oct. 2020,5268
27 oct. 2020,5548
28 oct. 2020,5924
29 oct. 2020,6187
30 oct. 2020,6439
31 oct. 2020,6502
1 nov. 2020,6824
2 nov. 2020,7233
3 nov. 2020,7461
4 nov. 2020,7411
5 nov. 2020,7290
6 nov. 2020,7224
7 nov. 2020,6895
8 nov. 2020,6955
9 nov. 2020,7221
10 nov. 2020,7058
11 nov. 2020,6879
12 nov. 2020,7010
13 nov. 2020,6762
14 nov. 2020,6505
15 nov. 2020,6518
16 nov. 2020,6580
17 nov. 2020,6240
18 nov. 2020,5930
19 nov. 2020,5651
20 nov. 2020,5418
21 nov. 2020,5017
22 nov. 2020,5025
23 nov. 2020,5076
24 nov. 2020,4783
25 nov. 2020,4570
26 nov. 2020,4376
27 nov. 2020,4215
28 nov. 2020,3994
29 nov. 2020,3989
30 nov. 2020,4014
1 déc. 2020,3707
2 déc. 2020,3590
3 déc. 2020,3417
4 déc. 2020,3341
5 déc. 2020,3163
6 déc. 2020,3210
7 déc. 2020,3272
8 déc. 2020,3136
9 déc. 2020,3034
10 déc. 2020,2961
11 déc. 2020,2896
12 déc. 2020,2770
13 déc. 2020,2861
14 déc. 2020,2888
15 déc. 2020,2772
16 déc. 2020,2707
17 déc. 2020,2683
18 déc. 2020,2616
19 déc. 2020,2523
20 déc. 2020,2538
21 déc. 2020,2610
22 déc. 2020,2557
23 déc. 2020,2467
24 déc. 2020,2447
25 déc. 2020,2282
26 déc. 2020,2286
27 déc. 2020,2359
28 déc. 2020,2440
29 déc. 2020,2417
30 déc. 2020,2333
31 déc. 2020,2187
1 janv. 2021,2081
2 janv. 2021,2122
3 janv. 2021,2185
4 janv. 2021,2226
5 janv. 2021,2130
6 janv. 2021,2076
7 janv. 2021,2018
8 janv. 2021,1996
9 janv. 2021,1927
10 janv. 2021,1955
11 janv. 2021,2020
12 janv. 2021,1966
13 janv. 2021,1943
14 janv. 2021,1915
15 janv. 2021,1883
16 janv. 2021,1828
17 janv. 2021,1892
18 janv. 2021,1974
19 janv. 2021,1960
20 janv. 2021,1938
21 janv. 2021,1941
22 janv. 2021,1923
23 janv. 2021,1888
24 janv. 2021,1923
25 janv. 2021,1954
26 janv. 2021,1928
27 janv. 2021,1850
28 janv. 2021,1819
29 janv. 2021,1810
30 janv. 2021,1760
31 janv. 2021,1788
1 févr. 2021,1852
2 févr. 2021,1794
3 févr. 2021,1785
4 févr. 2021,1751
5 févr. 2021,1737
6 févr. 2021,1650
7 févr. 2021,1678
8 févr. 2021,1698
9 févr. 2021,1674
10 févr. 2021,1652
11 févr. 2021,1642
12 févr. 2021,1634
13 févr. 2021,1567
14 févr. 2021,1598
15 févr. 2021,1632
16 févr. 2021,1600
17 févr. 2021,1610
18 févr. 2021,1588
19 févr. 2021,1607
20 févr. 2021,1567
21 févr. 2021,1619
22 févr. 2021,1721
23 févr. 2021,1711
24 févr. 2021,1749
25 févr. 2021,1759
26 févr. 2021,1838
27 févr. 2021,1835
28 févr. 2021,1896
1 mars 2021,1937
2 mars 2021,1902
3 mars 2021,1900
4 mars 2021,1905
5 mars 2021,1915
6 mars 2021,1880
7 mars 2021,1938
8 mars 2021,1994
9 mars 2021,1963
10 mars 2021,1943
11 mars 2021,1910
12 mars 2021,1915
13 mars 2021,1905
14 mars 2021,2013
15 mars 2021,2112
16 mars 2021,2085
17 mars 2021,2123
18 mars 2021,2142
19 mars 2021,2153
20 mars 2021,2160
21 mars 2021,2249
22 mars 2021,2372
23 mars 2021,2402
24 mars 2021,2452
25 mars 2021,2493
26 mars 2021,2503
27 mars 2021,2568
28 mars 2021,2693
29 mars 2021,2820
30 mars 2021,2868
31 mars 2021,2938
1 avr. 2021,2959
2 avr. 2021,3026
3 avr. 2021,2911
4 avr. 2021,2923
5 avr. 2021,3055
6 avr. 2021,3167
7 avr. 2021,3164
8 avr. 2021,3129
9 avr. 2021,3117
10 avr. 2021,3022
11 avr. 2021,3085
12 avr. 2021,3215
13 avr. 2021,3130
14 avr. 2021,3049
15 avr. 2021,3032
16 avr. 2021,3015
17 avr. 2021,2910
18 avr. 2021,3000
19 avr. 2021,3140
20 avr. 2021,3103
21 avr. 2021,3078
22 avr. 2021,2989
23 avr. 2021,2943
24 avr. 2021,2846
25 avr. 2021,2883
26 avr. 2021,2951
27 avr. 2021,2858
28 avr. 2021,2809
29 avr. 2021,2776
30 avr. 2021,2707
1 mai 2021,2593
2 mai 2021,2648
3 mai 2021,2760
4 mai 2021,2605
5 mai 2021,2481
6 mai 2021,2402
7 mai 2021,2307
8 mai 2021,2167
9 mai 2021,2172
10 mai 2021,2253
11 mai 2021,2108
12 mai 2021,2025
13 mai 2021,1912
14 mai 2021,1917
15 mai 2021,1804
16 mai 2021,1802
17 mai 2021,1857
18 mai 2021,1753
19 mai 2021,1702
20 mai 2021,1640
21 mai 2021,1600
22 mai 2021,1491
23 mai 2021,1501
24 mai 2021,1532
25 mai 2021,1547
26 mai 2021,1463
27 mai 2021,1366
28 mai 2021,1290
29 mai 2021,1206
30 mai 2021,1219
31 mai 2021,1232
1 juin 2021,1159
2 juin 2021,1124
3 juin 2021,1063
4 juin 2021,1007
5 juin 2021,978
6 juin 2021,967
7 juin 2021,968
8 juin 2021,888
9 juin 2021,852
10 juin 2021,817
11 juin 2021,770
12 juin 2021,721
13 juin 2021,702
14 juin 2021,723
15 juin 2021,651
16 juin 2021,592
17 juin 2021,552
18 juin 2021,492
19 juin 2021,458
20 juin 2021,459
21 juin 2021,471
22 juin 2021,450
23 juin 2021,439
24 juin 2021,422
25 juin 2021,382
26 juin 2021,347
27 juin 2021,338
28 juin 2021,339
29 juin 2021,328
30 juin 2021,303
1 juil. 2021,274
2 juil. 2021,272
3 juil. 2021,252
4 juil. 2021,258
5 juil. 2021,256
6 juil. 2021,251
7 juil. 2021,256
8 juil. 2021,252
9 juil. 2021,240
10 juil. 2021,227
11 juil. 2021,230
12 juil. 2021,234
13 juil. 2021,241
14 juil. 2021,241
15 juil. 2021,253
16 juil. 2021,240
17 juil. 2021,242
18 juil. 2021,248
19 juil. 2021,267
20 juil. 2021,266
21 juil. 2021,280
22 juil. 2021,289
23 juil. 2021,274
24 juil. 2021,271
25 juil. 2021,288
26 juil. 2021,305
27 juil. 2021,308
28 juil. 2021,311
29 juil. 2021,318
30 juil. 2021,320
31 juil. 2021,325
1 août 2021,343
2 août 2021,365
3 août 2021,369
4 août 2021,367
5 août 2021,367
6 août 2021,383
7 août 2021,397
8 août 2021,426
9 août 2021,462
10 août 2021,465
11 août 2021,454
12 août 2021,475
13 août 2021,496
14 août 2021,495
15 août 2021,513
16 août 2021,550
17 août 2021,570
18 août 2021,592
19 août 2021,608
20 août 2021,583
21 août 2021,594
22 août 2021,619
23 août 2021,652
24 août 2021,635
25 août 2021,619
26 août 2021,602
27 août 2021,596
28 août 2021,611
29 août 2021,631
30 août 2021,677
31 août 2021,667
1 sept. 2021,661
2 sept. 2021,657
3 sept. 2021,683
4 sept. 2021,669
5 sept. 2021,687
6 sept. 2021,725
7 sept. 2021,702
8 sept. 2021,704
