Date,NEW_IN
6 mars 2020,0
7 mars 2020,0
8 mars 2020,0
9 mars 2020,1
10 mars 2020,0
11 mars 2020,7
12 mars 2020,26
13 mars 2020,61
14 mars 2020,56
15 mars 2020,70
16 mars 2020,88
17 mars 2020,125
18 mars 2020,179
19 mars 2020,213
20 mars 2020,294
21 mars 2020,322
22 mars 2020,278
23 mars 2020,268
24 mars 2020,420
25 mars 2020,543
26 mars 2020,494
27 mars 2020,587
28 mars 2020,642
29 mars 2020,545
30 mars 2020,486
31 mars 2020,550
1 avr. 2020,599
2 avr. 2020,572
3 avr. 2020,502
4 avr. 2020,502
5 avr. 2020,360
6 avr. 2020,324
7 avr. 2020,475
8 avr. 2020,464
9 avr. 2020,467
10 avr. 2020,431
11 avr. 2020,392
12 avr. 2020,277
13 avr. 2020,244
14 avr. 2020,253
15 avr. 2020,317
16 avr. 2020,313
17 avr. 2020,306
18 avr. 2020,265
19 avr. 2020,227
20 avr. 2020,184
21 avr. 2020,262
22 avr. 2020,216
23 avr. 2020,204
24 avr. 2020,221
25 avr. 2020,203
26 avr. 2020,130
27 avr. 2020,129
28 avr. 2020,165
29 avr. 2020,185
30 avr. 2020,153
1 mai 2020,134
2 mai 2020,82
3 mai 2020,62
4 mai 2020,92
5 mai 2020,123
6 mai 2020,101
7 mai 2020,122
8 mai 2020,79
9 mai 2020,85
10 mai 2020,62
11 mai 2020,48
12 mai 2020,74
13 mai 2020,83
14 mai 2020,66
15 mai 2020,65
16 mai 2020,62
17 mai 2020,45
18 mai 2020,52
19 mai 2020,59
20 mai 2020,77
21 mai 2020,63
22 mai 2020,37
23 mai 2020,56
24 mai 2020,31
25 mai 2020,39
26 mai 2020,39
27 mai 2020,53
28 mai 2020,28
29 mai 2020,28
30 mai 2020,42
31 mai 2020,26
1 juin 2020,29
2 juin 2020,36
3 juin 2020,22
4 juin 2020,34
5 juin 2020,30
6 juin 2020,23
7 juin 2020,24
8 juin 2020,18
9 juin 2020,24
10 juin 2020,20
11 juin 2020,33
12 juin 2020,25
13 juin 2020,11
14 juin 2020,16
15 juin 2020,12
16 juin 2020,27
17 juin 2020,19
18 juin 2020,21
19 juin 2020,21
20 juin 2020,18
21 juin 2020,12
22 juin 2020,14
23 juin 2020,12
24 juin 2020,16
25 juin 2020,21
26 juin 2020,18
27 juin 2020,16
28 juin 2020,7
29 juin 2020,14
30 juin 2020,17
1 juil. 2020,9
2 juil. 2020,13
3 juil. 2020,6
4 juil. 2020,16
5 juil. 2020,7
6 juil. 2020,10
7 juil. 2020,17
8 juil. 2020,9
9 juil. 2020,11
10 juil. 2020,6
11 juil. 2020,11
12 juil. 2020,7
13 juil. 2020,9
14 juil. 2020,18
15 juil. 2020,11
16 juil. 2020,13
17 juil. 2020,11
18 juil. 2020,27
19 juil. 2020,18
20 juil. 2020,14
21 juil. 2020,9
22 juil. 2020,23
23 juil. 2020,33
24 juil. 2020,34
25 juil. 2020,26
26 juil. 2020,16
27 juil. 2020,28
28 juil. 2020,41
29 juil. 2020,35
30 juil. 2020,30
31 juil. 2020,19
1 août 2020,29
2 août 2020,29
3 août 2020,29
4 août 2020,20
5 août 2020,50
6 août 2020,33
7 août 2020,33
8 août 2020,38
9 août 2020,23
10 août 2020,41
11 août 2020,52
12 août 2020,35
13 août 2020,46
14 août 2020,33
15 août 2020,43
16 août 2020,29
17 août 2020,21
18 août 2020,35
19 août 2020,39
20 août 2020,30
21 août 2020,31
22 août 2020,26
23 août 2020,18
24 août 2020,17
25 août 2020,12
26 août 2020,21
27 août 2020,21
28 août 2020,19
29 août 2020,8
30 août 2020,14
31 août 2020,18
1 sept. 2020,28
2 sept. 2020,26
3 sept. 2020,13
4 sept. 2020,22
5 sept. 2020,16
6 sept. 2020,17
7 sept. 2020,26
8 sept. 2020,42
9 sept. 2020,24
10 sept. 2020,29
11 sept. 2020,31
12 sept. 2020,35
13 sept. 2020,41
14 sept. 2020,34
15 sept. 2020,50
16 sept. 2020,46
17 sept. 2020,49
18 sept. 2020,58
19 sept. 2020,58
20 sept. 2020,50
21 sept. 2020,61
22 sept. 2020,76
23 sept. 2020,74
24 sept. 2020,93
25 sept. 2020,74
26 sept. 2020,54
27 sept. 2020,51
28 sept. 2020,74
29 sept. 2020,91
30 sept. 2020,89
1 oct. 2020,90
2 oct. 2020,75
3 oct. 2020,79
4 oct. 2020,91
5 oct. 2020,91
6 oct. 2020,113
7 oct. 2020,145
8 oct. 2020,131
9 oct. 2020,151
10 oct. 2020,165
11 oct. 2020,141
12 oct. 2020,179
13 oct. 2020,224
14 oct. 2020,266
15 oct. 2020,292
16 oct. 2020,252
17 oct. 2020,365
18 oct. 2020,271
19 oct. 2020,274
20 oct. 2020,428
21 oct. 2020,437
22 oct. 2020,520
23 oct. 2020,617
24 oct. 2020,610
25 oct. 2020,529
26 oct. 2020,545
27 oct. 2020,707
28 oct. 2020,759
29 oct. 2020,688
30 oct. 2020,748
31 oct. 2020,707
1 nov. 2020,578
2 nov. 2020,612
3 nov. 2020,899
4 nov. 2020,675
5 nov. 2020,577
6 nov. 2020,606
7 nov. 2020,516
8 nov. 2020,415
9 nov. 2020,443
10 nov. 2020,618
11 nov. 2020,565
12 nov. 2020,414
13 nov. 2020,526
14 nov. 2020,461
15 nov. 2020,305
16 nov. 2020,285
17 nov. 2020,380
18 nov. 2020,358
19 nov. 2020,363
20 nov. 2020,323
21 nov. 2020,261
22 nov. 2020,215
23 nov. 2020,211
24 nov. 2020,305
25 nov. 2020,285
26 nov. 2020,257
27 nov. 2020,234
28 nov. 2020,225
29 nov. 2020,149
30 nov. 2020,123
1 déc. 2020,208
2 déc. 2020,238
3 déc. 2020,196
4 déc. 2020,221
5 déc. 2020,226
6 déc. 2020,151
7 déc. 2020,147
8 déc. 2020,215
9 déc. 2020,185
10 déc. 2020,207
11 déc. 2020,184
12 déc. 2020,185
13 déc. 2020,187
14 déc. 2020,125
15 déc. 2020,225
16 déc. 2020,201
17 déc. 2020,208
18 déc. 2020,201
19 déc. 2020,198
20 déc. 2020,133
21 déc. 2020,139
22 déc. 2020,219
23 déc. 2020,190
24 déc. 2020,211
25 déc. 2020,151
26 déc. 2020,95
27 déc. 2020,158
28 déc. 2020,150
29 déc. 2020,208
30 déc. 2020,159
31 déc. 2020,145
1 janv. 2021,150
2 janv. 2021,110
3 janv. 2021,137
4 janv. 2021,110
5 janv. 2021,149
6 janv. 2021,145
7 janv. 2021,156
8 janv. 2021,141
9 janv. 2021,137
10 janv. 2021,85
11 janv. 2021,94
12 janv. 2021,139
13 janv. 2021,142
14 janv. 2021,133
15 janv. 2021,142
16 janv. 2021,111
17 janv. 2021,79
18 janv. 2021,105
19 janv. 2021,187
20 janv. 2021,144
21 janv. 2021,148
22 janv. 2021,158
23 janv. 2021,143
24 janv. 2021,106
25 janv. 2021,92
26 janv. 2021,153
27 janv. 2021,121
28 janv. 2021,138
29 janv. 2021,119
30 janv. 2021,137
31 janv. 2021,77
1 févr. 2021,128
2 févr. 2021,142
3 févr. 2021,142
4 févr. 2021,141
5 févr. 2021,144
6 févr. 2021,123
7 févr. 2021,108
8 févr. 2021,72
9 févr. 2021,163
10 févr. 2021,132
11 févr. 2021,137
12 févr. 2021,132
13 févr. 2021,107
14 févr. 2021,91
15 févr. 2021,84
16 févr. 2021,145
17 févr. 2021,141
18 févr. 2021,142
19 févr. 2021,125
20 févr. 2021,112
21 févr. 2021,88
22 févr. 2021,115
23 févr. 2021,155
24 févr. 2021,150
25 févr. 2021,142
26 févr. 2021,204
27 févr. 2021,156
28 févr. 2021,127
1 mars 2021,107
2 mars 2021,176
3 mars 2021,152
4 mars 2021,171
5 mars 2021,152
6 mars 2021,141
7 mars 2021,122
8 mars 2021,113
9 mars 2021,202
10 mars 2021,154
11 mars 2021,139
12 mars 2021,170
13 mars 2021,195
14 mars 2021,159
15 mars 2021,150
16 mars 2021,208
17 mars 2021,207
18 mars 2021,208
19 mars 2021,182
20 mars 2021,243
21 mars 2021,185
