Date,NEW_IN
6 mars 2020,0
7 mars 2020,0
8 mars 2020,0
9 mars 2020,1
10 mars 2020,0
11 mars 2020,7
12 mars 2020,26
13 mars 2020,61
14 mars 2020,56
15 mars 2020,70
16 mars 2020,88
17 mars 2020,125
18 mars 2020,179
19 mars 2020,213
20 mars 2020,294
21 mars 2020,322
22 mars 2020,278
23 mars 2020,268
24 mars 2020,420
25 mars 2020,543
26 mars 2020,494
27 mars 2020,587
28 mars 2020,642
29 mars 2020,545
30 mars 2020,486
31 mars 2020,550
1 avr. 2020,599
2 avr. 2020,572
3 avr. 2020,502
4 avr. 2020,502
5 avr. 2020,360
6 avr. 2020,324
7 avr. 2020,475
8 avr. 2020,464
9 avr. 2020,467
10 avr. 2020,431
11 avr. 2020,392
12 avr. 2020,277
13 avr. 2020,244
14 avr. 2020,253
15 avr. 2020,317
16 avr. 2020,313
17 avr. 2020,306
18 avr. 2020,265
19 avr. 2020,227
20 avr. 2020,184
21 avr. 2020,262
22 avr. 2020,216
23 avr. 2020,204
24 avr. 2020,221
25 avr. 2020,203
26 avr. 2020,130
27 avr. 2020,129
28 avr. 2020,202
29 avr. 2020,225
30 avr. 2020,178
1 mai 2020,167
2 mai 2020,98
3 mai 2020,74
4 mai 2020,118
5 mai 2020,161
6 mai 2020,129
7 mai 2020,157
8 mai 2020,103
9 mai 2020,116
10 mai 2020,86
11 mai 2020,77
12 mai 2020,109
13 mai 2020,106
14 mai 2020,102
15 mai 2020,90
16 mai 2020,83
17 mai 2020,77
18 mai 2020,75
19 mai 2020,83
20 mai 2020,98
21 mai 2020,84
22 mai 2020,52
23 mai 2020,72
24 mai 2020,41
25 mai 2020,54
26 mai 2020,49
27 mai 2020,74
28 mai 2020,51
29 mai 2020,39
30 mai 2020,58
31 mai 2020,34
1 juin 2020,33
2 juin 2020,50
3 juin 2020,35
4 juin 2020,47
5 juin 2020,45
6 juin 2020,34
7 juin 2020,30
8 juin 2020,30
9 juin 2020,41
10 juin 2020,32
11 juin 2020,45
12 juin 2020,37
13 juin 2020,24
14 juin 2020,22
15 juin 2020,15
16 juin 2020,36
17 juin 2020,25
18 juin 2020,32
19 juin 2020,28
20 juin 2020,24
21 juin 2020,16
22 juin 2020,23
23 juin 2020,20
24 juin 2020,21
25 juin 2020,26
26 juin 2020,26
27 juin 2020,22
28 juin 2020,10
29 juin 2020,17
30 juin 2020,23
1 juil. 2020,12
2 juil. 2020,20
3 juil. 2020,8
4 juil. 2020,20
5 juil. 2020,10
6 juil. 2020,16
7 juil. 2020,24
8 juil. 2020,15
9 juil. 2020,24
10 juil. 2020,12
11 juil. 2020,20
12 juil. 2020,10
13 juil. 2020,15
14 juil. 2020,26
15 juil. 2020,19
16 juil. 2020,18
17 juil. 2020,15
18 juil. 2020,32
19 juil. 2020,20
20 juil. 2020,19
21 juil. 2020,10
22 juil. 2020,35
23 juil. 2020,44
24 juil. 2020,46
25 juil. 2020,29
26 juil. 2020,23
27 juil. 2020,33
28 juil. 2020,44
29 juil. 2020,44
30 juil. 2020,37
31 juil. 2020,23
1 août 2020,36
2 août 2020,32
3 août 2020,35
4 août 2020,28
5 août 2020,59
6 août 2020,45
7 août 2020,38
8 août 2020,43
9 août 2020,24
10 août 2020,44
11 août 2020,57
12 août 2020,44
13 août 2020,50
14 août 2020,38
15 août 2020,51
16 août 2020,36
17 août 2020,28
18 août 2020,45
19 août 2020,41
20 août 2020,34
21 août 2020,34
22 août 2020,29
23 août 2020,23
24 août 2020,23
25 août 2020,16
26 août 2020,26
27 août 2020,35
28 août 2020,25
29 août 2020,12
30 août 2020,18
31 août 2020,21
1 sept. 2020,31
2 sept. 2020,31
3 sept. 2020,20
4 sept. 2020,25
5 sept. 2020,21
6 sept. 2020,21
7 sept. 2020,28
8 sept. 2020,51
9 sept. 2020,28
10 sept. 2020,32
11 sept. 2020,37
12 sept. 2020,44
13 sept. 2020,44
14 sept. 2020,40
15 sept. 2020,60
16 sept. 2020,56
17 sept. 2020,61
18 sept. 2020,76
19 sept. 2020,67
20 sept. 2020,54
21 sept. 2020,75
22 sept. 2020,90
23 sept. 2020,91
24 sept. 2020,108
25 sept. 2020,84
26 sept. 2020,61
27 sept. 2020,63
28 sept. 2020,86
29 sept. 2020,101
30 sept. 2020,107
1 oct. 2020,109
2 oct. 2020,86
3 oct. 2020,102
4 oct. 2020,106
5 oct. 2020,109
6 oct. 2020,126
7 oct. 2020,189
8 oct. 2020,157
9 oct. 2020,174
10 oct. 2020,202
11 oct. 2020,160
12 oct. 2020,213
13 oct. 2020,274
14 oct. 2020,312
15 oct. 2020,329
16 oct. 2020,292
17 oct. 2020,397
18 oct. 2020,313
19 oct. 2020,312
20 oct. 2020,487
21 oct. 2020,543
22 oct. 2020,618
23 oct. 2020,689
24 oct. 2020,689
25 oct. 2020,608
26 oct. 2020,603
27 oct. 2020,816
28 oct. 2020,853
29 oct. 2020,741
30 oct. 2020,811
31 oct. 2020,756
1 nov. 2020,606
2 nov. 2020,665
3 nov. 2020,1011
4 nov. 2020,734
5 nov. 2020,640
6 nov. 2020,661
7 nov. 2020,565
8 nov. 2020,469
9 nov. 2020,489
10 nov. 2020,683
11 nov. 2020,629
12 nov. 2020,492
13 nov. 2020,579
14 nov. 2020,519
15 nov. 2020,336
16 nov. 2020,331
17 nov. 2020,441
18 nov. 2020,412
19 nov. 2020,410
20 nov. 2020,374
21 nov. 2020,307
22 nov. 2020,236
23 nov. 2020,243
24 nov. 2020,360
25 nov. 2020,337
26 nov. 2020,305
27 nov. 2020,276
28 nov. 2020,273
29 nov. 2020,185
30 nov. 2020,175
1 déc. 2020,265
2 déc. 2020,288
3 déc. 2020,255
4 déc. 2020,272
5 déc. 2020,252
6 déc. 2020,178
7 déc. 2020,180
8 déc. 2020,286
9 déc. 2020,226
10 déc. 2020,247
11 déc. 2020,227
12 déc. 2020,213
13 déc. 2020,211
14 déc. 2020,156
15 déc. 2020,271
16 déc. 2020,238
17 déc. 2020,267
18 déc. 2020,230
19 déc. 2020,239
20 déc. 2020,157
21 déc. 2020,165
22 déc. 2020,253
23 déc. 2020,228
24 déc. 2020,250
25 déc. 2020,174
26 déc. 2020,120
27 déc. 2020,185
28 déc. 2020,169
29 déc. 2020,235
30 déc. 2020,189
31 déc. 2020,167
1 janv. 2021,190
2 janv. 2021,126
3 janv. 2021,169
4 janv. 2021,148
5 janv. 2021,194
6 janv. 2021,201
7 janv. 2021,213
8 janv. 2021,165
9 janv. 2021,180
10 janv. 2021,108
11 janv. 2021,128
12 janv. 2021,176
13 janv. 2021,191
14 janv. 2021,172
15 janv. 2021,163
16 janv. 2021,139
17 janv. 2021,103
18 janv. 2021,143
19 janv. 2021,230
20 janv. 2021,186
21 janv. 2021,200
22 janv. 2021,183
23 janv. 2021,182
24 janv. 2021,118
25 janv. 2021,109
26 janv. 2021,207
27 janv. 2021,149
28 janv. 2021,169
29 janv. 2021,152
30 janv. 2021,164
31 janv. 2021,91
1 févr. 2021,147
2 févr. 2021,158
3 févr. 2021,163
4 févr. 2021,158
5 févr. 2021,184
6 févr. 2021,136
7 févr. 2021,114
8 févr. 2021,92
9 févr. 2021,188
10 févr. 2021,171
11 févr. 2021,179
12 févr. 2021,159
13 févr. 2021,136
14 févr. 2021,108
15 févr. 2021,102
16 févr. 2021,192
17 févr. 2021,168
18 févr. 2021,174
19 févr. 2021,154
20 févr. 2021,144
21 févr. 2021,103
22 févr. 2021,148
23 févr. 2021,188
24 févr. 2021,187
25 févr. 2021,165
26 févr. 2021,223
27 févr. 2021,180
28 févr. 2021,145
1 mars 2021,128
2 mars 2021,199
3 mars 2021,179
4 mars 2021,201
5 mars 2021,181
6 mars 2021,160
7 mars 2021,140
8 mars 2021,132
9 mars 2021,239
10 mars 2021,184
11 mars 2021,155
12 mars 2021,200
13 mars 2021,217
14 mars 2021,180
15 mars 2021,168
16 mars 2021,233
17 mars 2021,259
18 mars 2021,231
19 mars 2021,204
20 mars 2021,257
21 mars 2021,200
